item,detail
Hotel address,1 Hang Dao Street, Hoan Kiem District, Hanoi 10000, Vietnam
District,Hoan Kiem - the historic heart of Hanoi
From Noi Bai International Airport,Approximately 35-45 minutes by car (35 km). Traffic may vary.
From Hanoi Railway Station,Approximately 15 minutes by taxi (4 km)
Nearby attraction - Hoan Kiem Lake,5 minutes walk. Iconic lake in the center of Hanoi with Ngoc Son Temple.
Nearby attraction - Hanoi Old Quarter,3 minutes walk. 36 ancient trade streets with traditional shops, street food, and local culture.
Nearby attraction - St. Joseph's Cathedral,7 minutes walk. Historic French Gothic cathedral built in 1886.
Nearby attraction - Vietnam Museum of Ethnology,25 minutes by taxi. Showcases the culture of 54 ethnic groups of Vietnam.
Nearby attraction - Temple of Literature,15 minutes by taxi. Vietnam's first university, dating back to 1070.
Nearby attraction - Ho Chi Minh Mausoleum,20 minutes by taxi. Final resting place of President Ho Chi Minh.
Nearby attraction - Hoa Lo Prison Museum,10 minutes walk. Historical prison known as the Hanoi Hilton.
Local transport,Grab (ride-hailing app) is widely available and affordable. Metered taxis also available outside the hotel.
Public bus,Multiple bus routes within 5 minutes walk. Bus stops on Dinh Tien Hoang Street.
Walking,The Old Quarter and main attractions are all within comfortable walking distance.
