policy,detail
Check-in time,From 14:00 (2:00 PM). Early check-in subject to availability.
Check-out time,Until 12:00 (12:00 PM). Late check-out available upon request until 18:00.
Early check-in,Available upon request. Subject to availability. Additional fee may apply.
Late check-out,Available upon request until 18:00. Additional fee may apply. Please inform front desk by 09:00.
Cancellation policy,Free cancellation up to 48 hours before check-in date. Cancellations within 48 hours will incur a charge of 1 night's room rate.
Deposit,A valid credit card guarantee is required at time of booking. No upfront charge unless cancellation policy is triggered.
Pets,Pets are not allowed on the property.
Smoking,This is a non-smoking hotel. Smoking is only permitted in designated outdoor areas on the ground floor.
Extra bed,Extra beds available for children under 12. Please request at time of booking. Additional charge applies.
Age requirement,Primary guest must be 18 years or older to check in.
